Reference, Value, Footprint, Datasheet
"U2","ATmega32U4-AU","Housings_QFP:TQFP-44_10x10mm_Pitch0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf"
"J1","USB_B_Micro","Connectors_USB:USB_Micro-B_Molex-105017-0001","~"
"U1","USBLC6-2SC6","TO_SOT_Packages_SMD:SOT-23-6_Handsoldering","http://www2.st.com/resource/en/datasheet/CD00050750.pdf"
"R1","22","Resistors_SMD:R_0805_HandSoldering","~"
"R2","22","Resistors_SMD:R_0805_HandSoldering","~"
"C4","1uF (Â±10%)","Capacitors_SMD:C_0805_HandSoldering","~"
"Y1","Crystal_GND24","Crystals:Crystal_SMD_SeikoEpson_FA238-4pin_3.2x2.5mm_HandSoldering","~"
"C1","22pF","Capacitors_SMD:C_0805_HandSoldering","~"
"C2","22pF","Capacitors_SMD:C_0805_HandSoldering","~"
"C3","10uF","Capacitors_SMD:C_0805_HandSoldering","~"
"SWR1","SW_Push","Buttons_Switches_SMD:SW_SPST_TL3342",""
"R3","10K","Resistors_SMD:R_0805_HandSoldering","~"
"C5","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C6","0.1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C8","0.1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C7","0.1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C9","0.1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"R4","10K","Resistors_SMD:R_0805_HandSoldering","~"
"J9","PF5","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"J10","PF6","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"J11","PF7","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"J2","MISO","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"J3","VCC","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"J4","SCK","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"J5","MOSI","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"J6","RES","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"J7","GND","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"J13","D+","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"J14","D-","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"J12","VCC","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"J15","GND","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"H1","MountingHole","Mounting_Holes:MountingHole_2.2mm_M2_Pad","~"
"H2","MountingHole","Mounting_Holes:MountingHole_2.2mm_M2_Pad","~"
"H3","MountingHole","Mounting_Holes:MountingHole_2.2mm_M2_Pad","~"
"H4","MountingHole","Mounting_Holes:MountingHole_2.2mm_M2_Pad","~"
"H5","MountingHole","Mounting_Holes:MountingHole_2.2mm_M2_Pad","~"
"H6","MountingHole","Mounting_Holes:MountingHole_2.2mm_M2_Pad","~"
"H7","MountingHole","Mounting_Holes:MountingHole_2.2mm_M2_Pad","~"
"H8","MountingHole","Mounting_Holes:MountingHole_2.2mm_M2_Pad","~"
"SW1","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D1","D","Diodes_SMD:D_SOD-123","~"
"SW6","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW2","SW_Push","MX_Switch:SW_Cherry_MX_1.50u_PCB",""
"D2","D","Diodes_SMD:D_SOD-123","~"
"D6","D","Diodes_SMD:D_SOD-123","~"
"SW7","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D7","D","Diodes_SMD:D_SOD-123","~"
"SW3","SW_Push","MX_Switch:SW_Cherry_MX_1.75u_PCB",""
"D3","D","Diodes_SMD:D_SOD-123","~"
"SW4","SW_Push","MX_Switch:SW_Cherry_MX_2.25u_PCB",""
"SW5","SW_Push","MX_Switch:SW_Cherry_MX_1.50u_PCB",""
"D4","D","Diodes_SMD:D_SOD-123","~"
"D5","D","Diodes_SMD:D_SOD-123","~"
"SW8","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW9","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D8","D","Diodes_SMD:D_SOD-123","~"
"D9","D","Diodes_SMD:D_SOD-123","~"
"SW10","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D10","D","Diodes_SMD:D_SOD-123","~"
"SW11","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D11","D","Diodes_SMD:D_SOD-123","~"
"SW12","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW13","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW14","SW_Push","MX_Switch:SW_Cherry_MX_1.50u_PCB",""
"D12","D","Diodes_SMD:D_SOD-123","~"
"D13","D","Diodes_SMD:D_SOD-123","~"
"D14","D","Diodes_SMD:D_SOD-123","~"
"SW15","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D15","D","Diodes_SMD:D_SOD-123","~"
"SW16","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D16","D","Diodes_SMD:D_SOD-123","~"
"SW17","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW18","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D17","D","Diodes_SMD:D_SOD-123","~"
"D18","D","Diodes_SMD:D_SOD-123","~"
"SW19","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D19","D","Diodes_SMD:D_SOD-123","~"
"SW20","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D20","D","Diodes_SMD:D_SOD-123","~"
"SW21","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW22","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW23","SW_Push","MX_Switch:SW_Cherry_MX_2.00u_PCB_ReversedStabilizers",""
"D21","D","Diodes_SMD:D_SOD-123","~"
"D22","D","Diodes_SMD:D_SOD-123","~"
"D23","D","Diodes_SMD:D_SOD-123","~"
"SW24","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D24","D","Diodes_SMD:D_SOD-123","~"
"SW25","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D25","D","Diodes_SMD:D_SOD-123","~"
"SW26","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW27","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW28","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D26","D","Diodes_SMD:D_SOD-123","~"
"D27","D","Diodes_SMD:D_SOD-123","~"
"D28","D","Diodes_SMD:D_SOD-123","~"
"SW29","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D29","D","Diodes_SMD:D_SOD-123","~"
"SW30","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D30","D","Diodes_SMD:D_SOD-123","~"
"SW31","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW32","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D31","D","Diodes_SMD:D_SOD-123","~"
"D32","D","Diodes_SMD:D_SOD-123","~"
"SW33","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D33","D","Diodes_SMD:D_SOD-123","~"
"SW34","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D34","D","Diodes_SMD:D_SOD-123","~"
"SW35","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW36","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW37","SW_Push","MX_Switch:SW_Cherry_MX_2.75u_PCB_ReversedStabilizers",""
"D35","D","Diodes_SMD:D_SOD-123","~"
"D36","D","Diodes_SMD:D_SOD-123","~"
"D37","D","Diodes_SMD:D_SOD-123","~"
"SW38","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D38","D","Diodes_SMD:D_SOD-123","~"
"SW39","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D39","D","Diodes_SMD:D_SOD-123","~"
"SW40","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW41","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D40","D","Diodes_SMD:D_SOD-123","~"
"D41","D","Diodes_SMD:D_SOD-123","~"
"SW42","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D42","D","Diodes_SMD:D_SOD-123","~"
"SW43","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D43","D","Diodes_SMD:D_SOD-123","~"
"SW44","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW45","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW46","SW_Push","MX_Switch:SW_Cherry_MX_1.50u_PCB",""
"D44","D","Diodes_SMD:D_SOD-123","~"
"D45","D","Diodes_SMD:D_SOD-123","~"
"D46","D","Diodes_SMD:D_SOD-123","~"
"SW47","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D47","D","Diodes_SMD:D_SOD-123","~"
"SW48","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D48","D","Diodes_SMD:D_SOD-123","~"
"SW49","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW50","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D49","D","Diodes_SMD:D_SOD-123","~"
"D50","D","Diodes_SMD:D_SOD-123","~"
"SW51","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D51","D","Diodes_SMD:D_SOD-123","~"
"SW52","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D52","D","Diodes_SMD:D_SOD-123","~"
"SW53","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW54","SW_Push","MX_Switch:SW_Cherry_MX_1.75u_PCB",""
"D53","D","Diodes_SMD:D_SOD-123","~"
"D54","D","Diodes_SMD:D_SOD-123","~"
"SW55","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D55","D","Diodes_SMD:D_SOD-123","~"
"SW56","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D56","D","Diodes_SMD:D_SOD-123","~"
"SW57","SW_Push","MX_Switch:SW_Cherry_MX_2.25u_PCB_ReversedStabilizers",""
"SW58","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D57","D","Diodes_SMD:D_SOD-123","~"
"D58","D","Diodes_SMD:D_SOD-123","~"
"SW59","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D59","D","Diodes_SMD:D_SOD-123","~"
"SW60","SW_Push","MX_Switch:SW_Cherry_MX_1.50u_PCB",""
"D60","D","Diodes_SMD:D_SOD-123","~"
"SW61","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW62","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D61","D","Diodes_SMD:D_SOD-123","~"
"D62","D","Diodes_SMD:D_SOD-123","~"
"SW63","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D63","D","Diodes_SMD:D_SOD-123","~"
"SW64","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D64","D","Diodes_SMD:D_SOD-123","~"
"SW65","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW66","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"SW67","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D65","D","Diodes_SMD:D_SOD-123","~"
"D66","D","Diodes_SMD:D_SOD-123","~"
"D67","D","Diodes_SMD:D_SOD-123","~"
"SW68","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D68","D","Diodes_SMD:D_SOD-123","~"
"SW69","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D69","D","Diodes_SMD:D_SOD-123","~"
"SW70","SW_Push","MX_Switch:SW_Cherry_MX_1.00u_PCB",""
"D70","D","Diodes_SMD:D_SOD-123","~"
